Academic_Year,Term,Course_ID,Course_Title,Section_ID,Enrolled_Count,class_size_status
2019-20,Fall,C00109,Marketing UG Course 1,SEC000060,2,Underfilled
2019-20,Fall,C00110,Marketing UG Course 2,SEC000061,3,Underfilled
2019-20,Fall,C00114,Marketing UG Course 6,SEC000062,3,Underfilled
2019-20,Fall,C00120,Marketing UG Course 12,SEC000063,1,Underfilled
2019-20,Fall,C00122,Marketing UG Course 14,SEC000064,3,Underfilled
2019-20,Fall,C00123,Marketing UG Course 15,SEC000065,47,Overfilled
2019-20,Fall,C00123,Marketing UG Course 15,SEC000066,47,Overfilled
2019-20,Fall,C00123,Marketing UG Course 15,SEC000067,46,Overfilled
2019-20,Fall,C00124,Marketing UG Course 16,SEC000068,1,Underfilled
2019-20,Fall,C00126,Marketing UG Course 18,SEC000069,5,Underfilled
2019-20,Fall,C00127,Marketing UG Course 19,SEC000070,2,Underfilled
2019-20,Fall,C00128,Marketing UG Course 20,SEC000071,2,Underfilled
2019-20,Fall,C00130,Marketing UG Course 22,SEC000072,1,Underfilled
2019-20,Fall,C00131,Marketing UG Course 23,SEC000073,1,Underfilled
2019-20,Fall,C00134,Marketing UG Course 26,SEC000074,2,Underfilled
2019-20,Fall,C00138,Marketing UG Course 30,SEC000075,2,Underfilled
2019-20,Fall,C00139,Marketing UG Course 31,SEC000076,1,Underfilled
2019-20,Fall,C00140,Marketing UG Course 32,SEC000077,2,Underfilled
2019-20,Fall,C00141,Marketing UG Course 33,SEC000078,3,Underfilled
2019-20,Fall,C00142,Marketing UG Course 34,SEC000079,4,Underfilled
2019-20,Fall,C00145,Marketing UG Course 37,SEC000080,1,Underfilled
2019-20,Fall,C00147,Marketing UG Course 39,SEC000081,3,Underfilled
2019-20,Fall,C00163,Civil UG Course 1,SEC000082,2,Underfilled
2019-20,Fall,C00167,Civil UG Course 5,SEC000083,3,Underfilled
2019-20,Fall,C00171,Civil UG Course 9,SEC000084,2,Underfilled
2019-20,Fall,C00172,Civil UG Course 10,SEC000085,4,Underfilled
2019-20,Fall,C00174,Civil UG Course 12,SEC000086,1,Underfilled
2019-20,Fall,C00175,Civil UG Course 13,SEC000087,1,Underfilled
2019-20,Fall,C00176,Civil UG Course 14,SEC000088,4,Underfilled
2019-20,Fall,C00180,Civil UG Course 18,SEC000089,4,Underfilled
2019-20,Fall,C00181,Civil UG Course 19,SEC000090,1,Underfilled
2019-20,Fall,C00182,Civil UG Course 20,SEC000091,2,Underfilled
2019-20,Fall,C00183,Civil UG Course 21,SEC000092,1,Underfilled
2019-20,Fall,C00186,Civil UG Course 24,SEC000093,2,Underfilled
2019-20,Fall,C00188,Civil UG Course 26,SEC000094,1,Underfilled
2019-20,Fall,C00189,Civil UG Course 27,SEC000095,4,Underfilled
2019-20,Fall,C00190,Civil UG Course 28,SEC000096,1,Underfilled
2019-20,Fall,C00191,Civil UG Course 29,SEC000097,8,Underfilled
2019-20,Fall,C00193,Civil UG Course 31,SEC000098,2,Underfilled
2019-20,Fall,C00194,Civil UG Course 32,SEC000099,1,Underfilled
2019-20,Fall,C00195,Civil UG Course 33,SEC000100,5,Underfilled
2019-20,Fall,C00196,Civil UG Course 34,SEC000101,4,Underfilled
2019-20,Fall,C00197,Civil UG Course 35,SEC000102,4,Underfilled
2019-20,Fall,C00198,Civil UG Course 36,SEC000103,2,Underfilled
2019-20,Fall,C00200,Civil UG Course 38,SEC000104,1,Underfilled
2019-20,Fall,C00201,Civil UG Course 39,SEC000105,2,Underfilled
2019-20,Fall,C00202,Civil UG Course 40,SEC000106,2,Underfilled
2019-20,Fall,C00204,Civil PG Course 2,SEC000107,28,Optimal
2019-20,Fall,C00206,Civil PG Course 4,SEC000108,35,Overfilled
2019-20,Fall,C00209,Civil PG Course 7,SEC000109,3,Underfilled
2019-20,Fall,C00210,Civil PG Course 8,SEC000110,33,Overfilled
2019-20,Fall,C00212,Civil PG Course 10,SEC000111,2,Underfilled
2019-20,Fall,C00213,Civil PG Course 11,SEC000112,32,Overfilled
2019-20,Fall,C00214,Civil PG Course 12,SEC000113,30,Optimal
2019-20,Fall,C00219,Mechanical UG Course 3,SEC000114,1,Underfilled
2019-20,Fall,C00220,Mechanical UG Course 4,SEC000115,6,Underfilled
2019-20,Fall,C00224,Mechanical UG Course 8,SEC000116,3,Underfilled
2019-20,Fall,C00227,Mechanical UG Course 11,SEC000117,35,Overfilled
2019-20,Fall,C00227,Mechanical UG Course 11,SEC000118,34,Overfilled
2019-20,Fall,C00232,Mechanical UG Course 16,SEC000119,2,Underfilled
2019-20,Fall,C00235,Mechanical UG Course 19,SEC000120,6,Underfilled
2019-20,Fall,C00237,Mechanical UG Course 21,SEC000121,8,Underfilled
2019-20,Fall,C00238,Mechanical UG Course 22,SEC000122,5,Underfilled
2019-20,Fall,C00242,Mechanical UG Course 26,SEC000123,3,Underfilled
2019-20,Fall,C00243,Mechanical UG Course 27,SEC000124,3,Underfilled
2019-20,Fall,C00244,Mechanical UG Course 28,SEC000125,1,Underfilled
2019-20,Fall,C00245,Mechanical UG Course 29,SEC000126,1,Underfilled
2019-20,Fall,C00250,Mechanical UG Course 34,SEC000127,1,Underfilled
2019-20,Fall,C00251,Mechanical UG Course 35,SEC000128,5,Underfilled
2019-20,Fall,C00253,Mechanical UG Course 37,SEC000129,33,Overfilled
2019-20,Fall,C00253,Mechanical UG Course 37,SEC000130,33,Overfilled
2019-20,Fall,C00257,Mechanical PG Course 1,SEC000131,27,Optimal
2019-20,Fall,C00260,Mechanical PG Course 4,SEC000132,2,Underfilled
2019-20,Fall,C00264,Mechanical PG Course 8,SEC000133,2,Underfilled
2019-20,Fall,C00265,Mechanical PG Course 9,SEC000134,2,Underfilled
2019-20,Fall,C00266,Mechanical PG Course 10,SEC000135,3,Underfilled
2019-20,Fall,C00268,Mechanical PG Course 12,SEC000136,2,Underfilled
2019-20,Fall,C00269,Mechanical PG Course 13,SEC000137,27,Optimal
2019-20,Fall,C00270,Mechanical PG Course 14,SEC000138,1,Underfilled
2019-20,Fall,C00278,Electrical UG Course 8,SEC000139,1,Underfilled
2019-20,Fall,C00279,Electrical UG Course 9,SEC000140,1,Underfilled
2019-20,Fall,C00284,Electrical UG Course 14,SEC000141,24,Optimal
2019-20,Fall,C00284,Electrical UG Course 14,SEC000142,24,Optimal
2019-20,Fall,C00284,Electrical UG Course 14,SEC000143,24,Optimal
2019-20,Fall,C00286,Electrical UG Course 16,SEC000144,1,Underfilled
2019-20,Fall,C00296,Electrical UG Course 26,SEC000145,30,Optimal
2019-20,Fall,C00296,Electrical UG Course 26,SEC000146,30,Optimal
2019-20,Fall,C00297,Electrical UG Course 27,SEC000147,2,Underfilled
2019-20,Fall,C00301,Electrical UG Course 31,SEC000148,24,Optimal
2019-20,Fall,C00301,Electrical UG Course 31,SEC000149,24,Optimal
2019-20,Fall,C00301,Electrical UG Course 31,SEC000150,23,Optimal
2019-20,Fall,C00311,Electrical PG Course 1,SEC000151,6,Underfilled
2019-20,Fall,C00313,Electrical PG Course 3,SEC000152,3,Underfilled
2019-20,Fall,C00314,Electrical PG Course 4,SEC000153,3,Underfilled
2019-20,Fall,C00315,Electrical PG Course 5,SEC000154,1,Underfilled
2019-20,Fall,C00316,Electrical PG Course 6,SEC000155,3,Underfilled
2019-20,Fall,C00317,Electrical PG Course 7,SEC000156,4,Underfilled
2019-20,Fall,C00318,Electrical PG Course 8,SEC000157,20,Optimal
2019-20,Fall,C00318,Electrical PG Course 8,SEC000158,19,Underfilled
2019-20,Fall,C00319,Electrical PG Course 9,SEC000159,3,Underfilled
2019-20,Fall,C00320,Electrical PG Course 10,SEC000160,4,Underfilled
2019-20,Fall,C00323,Electrical PG Course 13,SEC000161,35,Overfilled
2019-20,Fall,C00324,Electrical PG Course 14,SEC000162,9,Underfilled
2019-20,Fall,C00327,Computer Science UG Course 3,SEC000163,3,Underfilled
2019-20,Fall,C00329,Computer Science UG Course 5,SEC000164,2,Underfilled
2019-20,Fall,C00331,Computer Science UG Course 7,SEC000165,1,Underfilled
2019-20,Fall,C00332,Computer Science UG Course 8,SEC000166,2,Underfilled
2019-20,Fall,C00333,Computer Science UG Course 9,SEC000167,36,Overfilled
2019-20,Fall,C00333,Computer Science UG Course 9,SEC000168,35,Overfilled
2019-20,Fall,C00333,Computer Science UG Course 9,SEC000169,35,Overfilled
2019-20,Fall,C00335,Computer Science UG Course 11,SEC000170,3,Underfilled
2019-20,Fall,C00336,Computer Science UG Course 12,SEC000171,1,Underfilled
2019-20,Fall,C00338,Computer Science UG Course 14,SEC000172,2,Underfilled
2019-20,Fall,C00340,Computer Science UG Course 16,SEC000173,1,Underfilled
2019-20,Fall,C00341,Computer Science UG Course 17,SEC000174,3,Underfilled
2019-20,Fall,C00342,Computer Science UG Course 18,SEC000175,32,Overfilled
2019-20,Fall,C00342,Computer Science UG Course 18,SEC000176,32,Overfilled
2019-20,Fall,C00342,Computer Science UG Course 18,SEC000177,32,Overfilled
2019-20,Fall,C00344,Computer Science UG Course 20,SEC000178,1,Underfilled
2019-20,Fall,C00346,Computer Science UG Course 22,SEC000179,6,Underfilled
2019-20,Fall,C00347,Computer Science UG Course 23,SEC000180,1,Underfilled
2019-20,Fall,C00349,Computer Science UG Course 25,SEC000181,4,Underfilled
2019-20,Fall,C00350,Computer Science UG Course 26,SEC000182,2,Underfilled
2019-20,Fall,C00351,Computer Science UG Course 27,SEC000183,1,Underfilled
2019-20,Fall,C00352,Computer Science UG Course 28,SEC000184,4,Underfilled
2019-20,Fall,C00354,Computer Science UG Course 30,SEC000185,4,Underfilled
2019-20,Fall,C00355,Computer Science UG Course 31,SEC000186,3,Underfilled
2019-20,Fall,C00356,Computer Science UG Course 32,SEC000187,1,Underfilled
2019-20,Fall,C00357,Computer Science UG Course 33,SEC000188,3,Underfilled
2019-20,Fall,C00360,Computer Science UG Course 36,SEC000189,1,Underfilled
2019-20,Fall,C00361,Computer Science UG Course 37,SEC000190,3,Underfilled
2019-20,Fall,C00362,Computer Science UG Course 38,SEC000191,1,Underfilled
2019-20,Fall,C00364,Computer Science UG Course 40,SEC000192,2,Underfilled
2019-20,Fall,C00380,Data Science UG Course 2,SEC000193,5,Underfilled
2019-20,Fall,C00381,Data Science UG Course 3,SEC000194,1,Underfilled
2019-20,Fall,C00382,Data Science UG Course 4,SEC000195,5,Underfilled
2019-20,Fall,C00383,Data Science UG Course 5,SEC000196,1,Underfilled
2019-20,Fall,C00384,Data Science UG Course 6,SEC000197,4,Underfilled
2019-20,Fall,C00387,Data Science UG Course 9,SEC000198,6,Underfilled
2019-20,Fall,C00390,Data Science UG Course 12,SEC000199,9,Underfilled
2019-20,Fall,C00391,Data Science UG Course 13,SEC000200,1,Underfilled
2019-20,Fall,C00392,Data Science UG Course 14,SEC000201,6,Underfilled
2019-20,Fall,C00393,Data Science UG Course 15,SEC000202,9,Underfilled
2019-20,Fall,C00394,Data Science UG Course 16,SEC000203,2,Underfilled
2019-20,Fall,C00396,Data Science UG Course 18,SEC000204,3,Underfilled
2019-20,Fall,C00397,Data Science UG Course 19,SEC000205,3,Underfilled
2019-20,Fall,C00398,Data Science UG Course 20,SEC000206,2,Underfilled
2019-20,Fall,C00399,Data Science UG Course 21,SEC000207,3,Underfilled
2019-20,Fall,C00401,Data Science UG Course 23,SEC000208,36,Overfilled
2019-20,Fall,C00401,Data Science UG Course 23,SEC000209,36,Overfilled
2019-20,Fall,C00401,Data Science UG Course 23,SEC000210,35,Overfilled
2019-20,Fall,C00402,Data Science UG Course 24,SEC000211,5,Underfilled
2019-20,Fall,C00403,Data Science UG Course 25,SEC000212,1,Underfilled
2019-20,Fall,C00404,Data Science UG Course 26,SEC000213,1,Underfilled
2019-20,Fall,C00408,Data Science UG Course 30,SEC000214,34,Overfilled
2019-20,Fall,C00408,Data Science UG Course 30,SEC000215,34,Overfilled
2019-20,Fall,C00408,Data Science UG Course 30,SEC000216,34,Overfilled
2019-20,Fall,C00409,Data Science UG Course 31,SEC000217,1,Underfilled
2019-20,Fall,C00410,Data Science UG Course 32,SEC000218,3,Underfilled
2019-20,Fall,C00411,Data Science UG Course 33,SEC000219,1,Underfilled
2019-20,Fall,C00413,Data Science UG Course 35,SEC000220,1,Underfilled
2019-20,Fall,C00414,Data Science UG Course 36,SEC000221,33,Overfilled
2019-20,Fall,C00414,Data Science UG Course 36,SEC000222,33,Overfilled
2019-20,Fall,C00414,Data Science UG Course 36,SEC000223,32,Overfilled
2019-20,Fall,C00417,Data Science UG Course 39,SEC000224,4,Underfilled
2019-20,Fall,C00418,Data Science UG Course 40,SEC000225,4,Underfilled
2019-20,Fall,C00424,Data Science PG Course 6,SEC000226,22,Optimal
2019-20,Fall,C00427,Data Science PG Course 9,SEC000227,1,Underfilled
2019-20,Fall,C00435,Cybersecurity UG Course 3,SEC000228,1,Underfilled
2019-20,Fall,C00437,Cybersecurity UG Course 5,SEC000229,3,Underfilled
2019-20,Fall,C00438,Cybersecurity UG Course 6,SEC000230,1,Underfilled
2019-20,Fall,C00439,Cybersecurity UG Course 7,SEC000231,2,Underfilled
2019-20,Fall,C00443,Cybersecurity UG Course 11,SEC000232,2,Underfilled
2019-20,Fall,C00444,Cybersecurity UG Course 12,SEC000233,2,Underfilled
2019-20,Fall,C00445,Cybersecurity UG Course 13,SEC000234,3,Underfilled
2019-20,Fall,C00452,Cybersecurity UG Course 20,SEC000235,4,Underfilled
2019-20,Fall,C00454,Cybersecurity UG Course 22,SEC000236,4,Underfilled
2019-20,Fall,C00455,Cybersecurity UG Course 23,SEC000237,2,Underfilled
2019-20,Fall,C00458,Cybersecurity UG Course 26,SEC000238,3,Underfilled
2019-20,Fall,C00459,Cybersecurity UG Course 27,SEC000239,1,Underfilled
2019-20,Fall,C00463,Cybersecurity UG Course 31,SEC000240,1,Underfilled
2019-20,Fall,C00465,Cybersecurity UG Course 33,SEC000241,3,Underfilled
2019-20,Fall,C00472,Cybersecurity UG Course 40,SEC000242,3,Underfilled
2019-20,Fall,C00474,Cybersecurity PG Course 2,SEC000243,7,Underfilled
2019-20,Fall,C00475,Cybersecurity PG Course 3,SEC000244,4,Underfilled
2019-20,Fall,C00476,Cybersecurity PG Course 4,SEC000245,21,Optimal
2019-20,Fall,C00480,Cybersecurity PG Course 8,SEC000246,7,Underfilled
2019-20,Fall,C00481,Cybersecurity PG Course 9,SEC000247,6,Underfilled
2019-20,Fall,C00483,Cybersecurity PG Course 11,SEC000248,20,Optimal
2019-20,Fall,C00484,Cybersecurity PG Course 12,SEC000249,7,Underfilled
2019-20,Fall,C00485,Cybersecurity PG Course 13,SEC000250,6,Underfilled
2019-20,Fall,C00486,Cybersecurity PG Course 14,SEC000251,1,Underfilled
2019-20,Fall,C00487,Nursing UG Course 1,SEC000252,1,Underfilled
2019-20,Fall,C00490,Nursing UG Course 4,SEC000253,26,Optimal
2019-20,Fall,C00490,Nursing UG Course 4,SEC000254,26,Optimal
2019-20,Fall,C00490,Nursing UG Course 4,SEC000255,26,Optimal
2019-20,Fall,C00490,Nursing UG Course 4,SEC000256,26,Optimal
2019-20,Fall,C00490,Nursing UG Course 4,SEC000257,26,Optimal
2019-20,Fall,C00491,Nursing UG Course 5,SEC000258,4,Underfilled
2019-20,Fall,C00493,Nursing UG Course 7,SEC000259,2,Underfilled
2019-20,Fall,C00494,Nursing UG Course 8,SEC000260,1,Underfilled
2019-20,Fall,C00495,Nursing UG Course 9,SEC000261,27,Optimal
2019-20,Fall,C00495,Nursing UG Course 9,SEC000262,27,Optimal
2019-20,Fall,C00495,Nursing UG Course 9,SEC000263,27,Optimal
2019-20,Fall,C00495,Nursing UG Course 9,SEC000264,27,Optimal
2019-20,Fall,C00495,Nursing UG Course 9,SEC000265,26,Optimal
2019-20,Fall,C00497,Nursing UG Course 11,SEC000266,3,Underfilled
2019-20,Fall,C00500,Nursing UG Course 14,SEC000267,2,Underfilled
2019-20,Fall,C00501,Nursing UG Course 15,SEC000268,2,Underfilled
2019-20,Fall,C00502,Nursing UG Course 16,SEC000269,1,Underfilled
2019-20,Fall,C00504,Nursing UG Course 18,SEC000270,4,Underfilled
2019-20,Fall,C00505,Nursing UG Course 19,SEC000271,1,Underfilled
2019-20,Fall,C00506,Nursing UG Course 20,SEC000272,1,Underfilled
2019-20,Fall,C00508,Nursing UG Course 22,SEC000273,1,Underfilled
2019-20,Fall,C00511,Nursing UG Course 25,SEC000274,2,Underfilled
2019-20,Fall,C00517,Nursing UG Course 31,SEC000275,30,Optimal
2019-20,Fall,C00517,Nursing UG Course 31,SEC000276,30,Optimal
2019-20,Fall,C00517,Nursing UG Course 31,SEC000277,30,Optimal
2019-20,Fall,C00517,Nursing UG Course 31,SEC000278,29,Optimal
2019-20,Fall,C00518,Nursing UG Course 32,SEC000279,2,Underfilled
2019-20,Fall,C00519,Nursing UG Course 33,SEC000280,1,Underfilled
2019-20,Fall,C00520,Nursing UG Course 34,SEC000281,26,Optimal
2019-20,Fall,C00520,Nursing UG Course 34,SEC000282,26,Optimal
2019-20,Fall,C00520,Nursing UG Course 34,SEC000283,25,Optimal
2019-20,Fall,C00520,Nursing UG Course 34,SEC000284,25,Optimal
2019-20,Fall,C00520,Nursing UG Course 34,SEC000285,25,Optimal
2019-20,Fall,C00521,Nursing UG Course 35,SEC000286,3,Underfilled
2019-20,Fall,C00527,Nursing PG Course 1,SEC000287,6,Underfilled
2019-20,Fall,C00528,Nursing PG Course 2,SEC000288,1,Underfilled
2019-20,Fall,C00530,Nursing PG Course 4,SEC000289,26,Optimal
2019-20,Fall,C00531,Nursing PG Course 5,SEC000290,1,Underfilled
2019-20,Fall,C00533,Nursing PG Course 7,SEC000291,1,Underfilled
2019-20,Fall,C00534,Nursing PG Course 8,SEC000292,22,Optimal
2019-20,Fall,C00536,Nursing PG Course 10,SEC000293,6,Underfilled
2019-20,Fall,C00537,Nursing PG Course 11,SEC000294,1,Underfilled
2019-20,Fall,C00539,Nursing PG Course 13,SEC000295,7,Underfilled
2019-20,Fall,C00541,Public Health UG Course 1,SEC000296,26,Optimal
2019-20,Fall,C00541,Public Health UG Course 1,SEC000297,26,Optimal
2019-20,Fall,C00541,Public Health UG Course 1,SEC000298,26,Optimal
2019-20,Fall,C00541,Public Health UG Course 1,SEC000299,25,Optimal
2019-20,Fall,C00541,Public Health UG Course 1,SEC000300,25,Optimal
2019-20,Fall,C00545,Public Health UG Course 5,SEC000301,3,Underfilled
2019-20,Fall,C00547,Public Health UG Course 7,SEC000302,1,Underfilled
2019-20,Fall,C00548,Public Health UG Course 8,SEC000303,2,Underfilled
2019-20,Fall,C00549,Public Health UG Course 9,SEC000304,1,Underfilled
2019-20,Fall,C00550,Public Health UG Course 10,SEC000305,1,Underfilled
2019-20,Fall,C00551,Public Health UG Course 11,SEC000306,2,Underfilled
2019-20,Fall,C00554,Public Health UG Course 14,SEC000307,4,Underfilled
2019-20,Fall,C00556,Public Health UG Course 16,SEC000308,1,Underfilled
2019-20,Fall,C00558,Public Health UG Course 18,SEC000309,1,Underfilled
2019-20,Fall,C00560,Public Health UG Course 20,SEC000310,1,Underfilled
2019-20,Fall,C00561,Public Health UG Course 21,SEC000311,5,Underfilled
2019-20,Fall,C00563,Public Health UG Course 23,SEC000312,5,Underfilled
2019-20,Fall,C00564,Public Health UG Course 24,SEC000313,4,Underfilled
2019-20,Fall,C00565,Public Health UG Course 25,SEC000314,1,Underfilled
2019-20,Fall,C00566,Public Health UG Course 26,SEC000315,3,Underfilled
2019-20,Fall,C00567,Public Health UG Course 27,SEC000316,5,Underfilled
2019-20,Fall,C00569,Public Health UG Course 29,SEC000317,2,Underfilled
2019-20,Fall,C00570,Public Health UG Course 30,SEC000318,4,Underfilled
2019-20,Fall,C00571,Public Health UG Course 31,SEC000319,1,Underfilled
2019-20,Fall,C00574,Public Health UG Course 34,SEC000320,2,Underfilled
2019-20,Fall,C00575,Public Health UG Course 35,SEC000321,1,Underfilled
2019-20,Fall,C00576,Public Health UG Course 36,SEC000322,1,Underfilled
2019-20,Fall,C00577,Public Health UG Course 37,SEC000323,4,Underfilled
2019-20,Fall,C00578,Public Health UG Course 38,SEC000324,4,Underfilled
2019-20,Fall,C00582,Public Health PG Course 2,SEC000325,1,Underfilled
2019-20,Fall,C00589,Public Health PG Course 9,SEC000326,1,Underfilled
2019-20,Fall,C00590,Public Health PG Course 10,SEC000327,2,Underfilled
2019-20,Fall,C00595,Pharmacy UG Course 1,SEC000328,4,Underfilled
2019-20,Fall,C00596,Pharmacy UG Course 2,SEC000329,1,Underfilled
2019-20,Fall,C00597,Pharmacy UG Course 3,SEC000330,2,Underfilled
2019-20,Fall,C00598,Pharmacy UG Course 4,SEC000331,1,Underfilled
2019-20,Fall,C00599,Pharmacy UG Course 5,SEC000332,1,Underfilled
2019-20,Fall,C00600,Pharmacy UG Course 6,SEC000333,2,Underfilled
2019-20,Fall,C00606,Pharmacy UG Course 12,SEC000334,3,Underfilled
2019-20,Fall,C00608,Pharmacy UG Course 14,SEC000335,2,Underfilled
2019-20,Fall,C00609,Pharmacy UG Course 15,SEC000336,2,Underfilled
2019-20,Fall,C00611,Pharmacy UG Course 17,SEC000337,2,Underfilled
2019-20,Fall,C00613,Pharmacy UG Course 19,SEC000338,4,Underfilled
2019-20,Fall,C00614,Pharmacy UG Course 20,SEC000339,2,Underfilled
2019-20,Fall,C00615,Pharmacy UG Course 21,SEC000340,4,Underfilled
2019-20,Fall,C00617,Pharmacy UG Course 23,SEC000341,5,Underfilled
2019-20,Fall,C00620,Pharmacy UG Course 26,SEC000342,1,Underfilled
2019-20,Fall,C00621,Pharmacy UG Course 27,SEC000343,4,Underfilled
2019-20,Fall,C00622,Pharmacy UG Course 28,SEC000344,5,Underfilled
2019-20,Fall,C00623,Pharmacy UG Course 29,SEC000345,1,Underfilled
2019-20,Fall,C00625,Pharmacy UG Course 31,SEC000346,1,Underfilled
2019-20,Fall,C00626,Pharmacy UG Course 32,SEC000347,3,Underfilled
2019-20,Fall,C00627,Pharmacy UG Course 33,SEC000348,1,Underfilled
2019-20,Fall,C00628,Pharmacy UG Course 34,SEC000349,1,Underfilled
2019-20,Fall,C00629,Pharmacy UG Course 35,SEC000350,2,Underfilled
2019-20,Fall,C00630,Pharmacy UG Course 36,SEC000351,3,Underfilled
2019-20,Fall,C00633,Pharmacy UG Course 39,SEC000352,2,Underfilled
2019-20,Fall,C00634,Pharmacy UG Course 40,SEC000353,1,Underfilled
2019-20,Fall,C00640,Pharmacy PG Course 6,SEC000354,1,Underfilled
2019-20,Fall,C00642,Pharmacy PG Course 8,SEC000355,1,Underfilled
2019-20,Fall,C00643,Pharmacy PG Course 9,SEC000356,1,Underfilled
2019-20,Fall,C00644,Pharmacy PG Course 10,SEC000357,24,Optimal
2019-20,Fall,C00650,Psychology UG Course 2,SEC000358,33,Overfilled
2019-20,Fall,C00650,Psychology UG Course 2,SEC000359,33,Overfilled
2019-20,Fall,C00650,Psychology UG Course 2,SEC000360,33,Overfilled
2019-20,Fall,C00650,Psychology UG Course 2,SEC000361,32,Overfilled
2019-20,Fall,C00651,Psychology UG Course 3,SEC000362,14,Underfilled
2019-20,Fall,C00652,Psychology UG Course 4,SEC000363,2,Underfilled
2019-20,Fall,C00656,Psychology UG Course 8,SEC000364,1,Underfilled
2019-20,Fall,C00658,Psychology UG Course 10,SEC000365,7,Underfilled
